Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Uncategorized,recommendation,يقرأ ((ألم * تنزيل)) السجدة و((تبارك الذي بيده الملك)),,,"Reference:At-Tirmidhi, An-Nasa'i. See also Al-Albani, Sahihul-Jami ' As-Saghir 4/255Hisnul Muslim 110"
Uncategorized,N/A,اللّهُـمَّ أَسْـلَمْتُ نَفْـسي إِلَـيْكَ وَفَوَّضْـتُ أَمْـري إِلَـيْكَ وَوَجَّـهْتُ وَجْـهي إِلَـيْكَ وَأَلْـجَـاْتُ ظَهـري إِلَـيْكَ رَغْبَـةً وَرَهْـبَةً إِلَـيْكَ لا مَلْجَـأَ وَلا مَنْـجـا مِنْـكَ إِلاّ إِلَـيْكَ آمَنْـتُ بِكِتـابِكَ الّـذي أَنْزَلْـتَ وَبِنَبِـيِّـكَ الّـذي أَرْسَلْـت,"Allāhumma aslamtu nafsī ilayk. wa fawwaḍtu amrī ilayk. wa wajjahtu wajhī ilayk. wa alja'tu ẓahrī ilayk. raghbatan wa rahbatan ilayk. lā malja'a wa la manjā minka illā ilayk,āmantu bikitābika ‘l-ladhī anzalt. wa bi-nabiyyika ‘l-ladhī arsalt.","O Allah,1 I submit myself to You, entrust my affairs to You, turn my face to You, and lay myself down depending upon You, hoping in You and fearing You. There is no refuge, and no escape, except to You. I believe in Your Book (the Qur'an) that You revealed, and the Prophet whom You sent.","Reference:1 ""Before you go to bed perform ablutions as you would for prayer, then lie down on your right side and say. . . "" The Prophet (ﷺ) said: ""Whoever says this and dies in his sleep, has died in a state of the natural monotheism (Fitrah)."" Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/113, Muslim 4/2081.Hisnul Muslim 111"
Chapter 29: When tossing and turning during the night,1 du'a,لا إِلـهَ إِلاّ اللهُ الـواحِدُ القَهّـار رَبُّ السَّـمواتِ وَالأرْضِ وَما بَيْـنَهـما العَزيـزُ الغَـفّار,Lā ilāha illallāhal-Wāḥidul-Qahhār. Rabbus-samāwāti wa ‘l-arḍi wa mā baynahumaal-`Azīzul-Ghaffār.,"There is none worthy of worship but Allah, the One, the Victorious, Lord of the heavens and the earth and all that is between them, the All-Mighty, the All-Forgiving.","Reference:This is to be said if you turn over in bed during the night. Al-Hakim graded it authentic and Ath-Thahabi agreed 1/540. Also see An-Nasa'i, 'Amalul-Yawm wal-Laylah, and Ibn As-Sunni. See also Al-Albani, Sahihul-Jami' As-Saghir 4/ 213.Hisnul Muslim 112"
"Chapter 30: Upon experiencing unrest, fear, apprehensiveness during sleep",1 du'a,أَعـوذُ بِكَلِمـاتِ اللّهِ التّـامّـاتِ مِن غَضَـبِهِ وَعِـقابِهِ وَشَـرِّ عِبـادِهِ وَمِنْ هَمَـزاتِ الشَّـياطينِ وَأَنْ يَحْضـرون,A`ūdhu bikalimāti ‘llāhit-tāmmātimin ghaḍabihi wa `iqābihi wa sharri `ibādih. wa min hamazātish-shayāṭīni wa an yaḥḍurūn.,"I seek refuge in the Perfect Words of Allah from His anger and His punishment, from the evil of His slaves, and from the taunts of devils and from their presence.","Reference:Abu Dawud 4/12. See also Al-Albani, Sahih At- Tirmidhi 3/171Hisnul Muslim 113"
Chapter 31: Upon seeing a good dream or a bad dream,recommendation,يَنْفُثُ عَنْ يَسَارِهِ (ثلاثاً). يَسْتَعِيذُ بِاللَّهِ مِنَ الشَّيطَانِ وَمِنْ شَرِّ مَا رَأَى (ثَلاَثَ مَرَّاتٍ). لاَ يُحَدِّثْ بِهَا أَحَداً. يَــتَحَوَّلُ عَنْ جَنْبِهِ الَّذِي كَانَ عَلَيْهِ.,,,"Reference:1. Muslim 4/1 772. 2. Muslim 4/1 772, 3. 3. Muslim 4/1772. 4. Muslim 4/1773.Hisnul Muslim 114"
Uncategorized,recommendation,يقوم يصلي إن أراد ذلك.ويَقُومُ يُصَلِّي إِنْ أَرَادَ ذَلِكَ.,,,Reference:Muslim 4/1773.Hisnul Muslim 115
Chapter 32: Qunoot Al-Witr,3 du'as,اللّهُـمَّ اهْـدِنـي فـيمَنْ هَـدَيْـت وَعـافِنـي فـيمَنْ عافَـيْت وَتَوَلَّـني فـيمَنْ تَوَلَّـيْت وَبارِكْ لـي فـيما أَعْطَـيْت وَقِـني شَرَّ ما قَضَـيْت فَإِنَّـكَ تَقْـضي وَلا يُقْـضى عَلَـيْك  إِنَّـهُ لا يَـذِلُّ مَنْ والَـيْت [ وَلا يَعِـزُّ مَن عـادَيْت ] تَبـارَكْـتَ رَبَّـنا وَتَعـالَـيْت,"Allāhumma’hdinī fī man hadayt. wa `āfinī fī man `āfayt. wa tawallanī fī man tawallayt. wa bārik lī fī mā a`atayt. wa qinī sharra mā qaḍayt. fa innaka taqḍī wa lā yuqḍā `alayk. innahu lā yadhillu man wālayt,[wa lā ya`izzu man `ādayt] . tabārakta Rabbanā wa ta`ālayt.","O Allah, guide me with those whom You have guided, and strengthen me with those whom You have given strength. Take me to Your care with those whom You have taken to Your care. Bless me in what You have given me. Protect me from the evil You have ordained. Surely, You command and are not commanded, and none whom You have committed to Your care shall be humiliated[and none whom You have taken as an enemy shall taste glory]. You are Blessed, Our Lord, and Exalted.","Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, Ahmad, Ad-Darimi, Al-Hakim, and Al-Bayhaqi. See also Al-Albani, Sahih At-Tirmidhi 1/144, Sahih Ibn Majah 1/194, and 'Irwa'ul-GhaW. 2/ 172.Hisnul Muslim 116"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَعـوذُ بِرِضـاكَ مِنْ سَخَطِـك وَبِمُعـافاتِـكَ مِنْ عُقوبَـتِك وَأَعـوذُ بِكَ مِنْـك لا أُحْصـي ثَنـاءً عَلَـيْك أَنْـتَ كَمـا أَثْنَـيْتَ عَلـى نَفْسـِك,Allāhumma innī a`ūdhu biriḍāka min sakhaṭik. wa bimu`āfātika min `uqūbatik. wa a`ūdhu bika mink. lā uḥṣī thanā'an `alayk. Anta kamā athnayta `alā nafsik.,"O Allah, I seek refuge with Your Pleasure from Your anger. I seek refuge in Your forgiveness from Your punishment. I seek refuge in You from You. I cannot count Your praises, You are as You have praised Yourself.","Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, Ahmad. See Al-Albani, Sahih At-Tirmidhi 3/180, Sahih Ibn Majah 1/194, and 'Irwa'ul-Ghalil. 2/ 175.Hisnul Muslim 117"
Uncategorized,N/A,اللّهُـمَّ إِيّـاكَ نعْـبُدْ وَلَـكَ نُصَلّـي وَنَسْـجُد وَإِلَـيْكَ نَسْـعى وَنَحْـفِد نَـرْجو رَحْمَـتَك وَنَخْشـى عَـذابَك إِنَّ عَـذابَكَ بالكـافرين ملْحَـق. اللّهُـمَّ إِنّا نَسْتَعـينُكَ وَنَسْتَـغْفِرُك وَنُثْـنـي عَلَـيْك الخَـيْرَ وَلا نَكْـفُرُك وَنُـؤْمِنُ بِك وَنَخْـضَعُ لَكَ وَنَخْـلَعُ مَنْ يَكْـفرُك,Allāhumma iyyāka na`bud. wa laka nuṣallī wa nasjud. wa ilayka nas`ā wa naḥfid. narjū raḥmatak. wa nakhshā `adhābak. inna `adhābaka bilkāfirīna mulḥaq. Allāhumma innā nasta`īnuk. wa nastaghfiruk. wa nuthnī `alaykal-khayr. wa lā nakfuruk. wa nu'minu bik. wa nakhḍa`u lak. wa nakhla`u man yakfuruk.,"O Allah, You alone do we worship, and to You we pray and bow down prostrate. To You we hasten to worship and to serve. Our hope is for Your mercy, and we fear Your punishment. Surely, Your punishment of the disbelievers is at hand. O Allah, we seek Your help and Your forgiveness, and we praise You beneficently. We do not deny You and we believe in You. We surrender to You and renounce whoever disbelieves in You.",Reference:Al-Bayhaqi graded its chain authentic in As-Sunan Al-Kubra. Al-Albani said in 'Irwa'ul-GhaliL 2/170 that its chain is authentic as a statement of 'Umar.Hisnul Muslim 118
Chapter 33: Immediately after salam of the witr prayer,1 du'a,'سبحان الملك القدوس' ثلاث مرات والثالثة يجهر بها ويمد بها صوته 'ربِّ الملائكةِ والرّوح',"Subḥāna ‘l-Maliki ‘l-Quddūs. [Recite three times, and raise and extend the voice on the third time and say...] Rabbi ‘l-Malā'ikati war-rūh.","Glory is to the King, the Holy.[Recite three times in Arabic, and raise and extend the voice on the third time and say...] Lord of the angels and the Spirit.","Reference:An-Nasa'i 3/244, Ad-Daraqutni and others. The final addition is from Ad-Daraqutni's version 2/ 31 and its chain of narration is authentic. See the checking of Zadul-Ma'ad by Shu'aib Al-Arna'ut and 'Abdul-Qadir Al-Arna'ut 1/337.Hisnul Muslim 119"
Chapter 34: For anxiety and sorrow,2 du'as,اللّهُـمَّ إِنِّي عَبْـدُكَ ابْنُ عَبْـدِكَ ابْنُ أَمَتِـكَ نَاصِيَتِي بِيَـدِكَ مَاضٍ فِيَّ حُكْمُكَ عَدْلٌ فِيَّ قَضَاؤكَ أَسْأَلُـكَ بِكُلِّ اسْمٍ هُوَ لَكَ سَمَّـيْتَ بِهِ نَفْسَكَ أِوْ أَنْزَلْتَـهُ فِي كِتَابِكَ أَوْ عَلَّمْـتَهُ أَحَداً مِنْ خَلْقِـكَ أَوِ اسْتَـأْثَرْتَ بِهِ فِي عِلْمِ الغَيْـبِ عِنْـدَكَ أَنْ تَجْـعَلَ القُرْآنَ رَبِيـعَ قَلْبِـي وَنورَ صَـدْرِي وجَلَاءَ حُـزْنِي وذَهَابَ هَمِّـي,"Allāhumma innī `abduk. ibnu `abdik. ibnu amatik. nāsiyatī biyadik. māḍin fiyya ḥukmuk,`adlun fiyya qaḍā'uk. as'aluka bikullis’min huwa lak. sammayta bihi nafsak. aw anzaltahu fī kitābik. aw `allamtahu aḥadan min khalqik. aw‘ista'tharta bihi fī `ilmil-ghaybi `indak. an taj`ala ‘l-Qur'āna rabī`a qalbī. wa nūra ṣadrī. wa jalā'a ḥuznī. wa dhahāba hammī.","O Allah, I am Your slave, and the son of Your male slave, and the son of your female slave. My forehead is in Your Hand (i. e. you have control over me). Your Judgment upon me is assured, and Your Decree concerning me is just. I ask You by every Name that You have named Yourself with, revealed in Your Book, taught any one of Your creation, or kept unto Yourself in the knowledge of the unseen that is with You, to make the Qur'an the spring of my heart, and the light of my chest, the banisher of my sadness, and the reliever of my distress.","Reference:Ahmad 1/391, and Al-Albani graded it authentic.Hisnul Muslim 120"
Uncategorized,N/A,اللّهُـمَّ إِنِّي أَعْوذُ بِكَ مِنَ الهَـمِّ وَ الْحُـزْنِ والعًجْـزِ والكَسَلِ والبُخْـلِ والجُـبْنِ وضَلْـعِ الـدَّيْنِ وغَلَبَـةِ الرِّجال,Allāhumma 'innī 'a`ūdhu bikamina ‘l-ḥammi wa ‘l-ḥuzn. wa ‘l-`ajzi wa ‘l-kasal. wa ‘l-bukhli wa ‘l-jubn. wa ḍala`id-dayn. wa ghalabatir-rijāl.,"O Allah, I seek refuge in you from grief and sadness, from weakness and from laziness, from miserliness and from cowardice, from being overcome by debt and overpowered by men (i. e. others).","Reference:Al-Bukhari 7/158. See also Al-Asqalani, Fathul-Bari 11/173.Hisnul Muslim 121"
Chapter 35: For one in distress,4 du'as,لَا إلَهَ إِلَّا اللَّهُ الْعَظـيمُ الْحَلِـيمْ لَا إِلَهَ إِلَّا اللَّهُ رَبُّ العَـرْشِ العَظِيـمِ لَا إِلَـهَ إِلَّا اللَّهْ رَبُّ السَّمَـوّاتِ ورّبُّ الأَرْضِ ورَبُّ العَرْشِ الكَـريم,Lā ilāha illallāhal-`Aẓīmul-Ḥalīm. lā ilāha illallāh Rabbu ‘l-`Arshi ‘l-'Aẓīm. lā ilāha illallāh Rabbus-samāwāti wa Rabbu ‘l-arḍwa Rabbu ‘l-`Arshi ‘l-Karīm.,"There is none worthy of worship but Allah, the Mighty, the Forbearing. There is none worthy of worship but Allah, Lord of the Magnificent Throne. There is none worthy of worship but Allah, Lord of the heavens and Lord of the earth, and Lord of the Noble Throne.","Reference:Al-Bukhari 8/154, Muslim 4/2092Hisnul Muslim 122"
Uncategorized,N/A,اللّهُـمَّ رَحْمَتَـكَ أَرْجـو فَلا تَكِلـني إِلى نَفْـسي طَـرْفَةَ عَـيْن وَأَصْلِـحْ لي شَأْنـي كُلَّـه لَا إِلَهَ إِلَّا أنْـت,Allāhumma raḥmataka arjūfalā takilnī ilā nafsī ṭarfata `ayn. wa aṣliḥ lī sha'nī kullah. lā ilāha illā ant.,"O Allah, I hope for Your mercy. Do not leave me to myself even for the blinking of an eye (i. e. a moment). Correct all of my affairs for me. There is none worthy of worship but You.","Reference:Abu Dawud 4/324, Ahmad 5/42. Al-Albani graded it as good in Sahih Abu Dawud 3/959.Hisnul Muslim 123"
Uncategorized,N/A,لَا إِلَهَ إِلَّا أنْـت سُـبْحانَكَ إِنِّي كُنْـتُ مِنَ الظّـالِميـن,Lā ilāha illā anta subḥānakainnī kuntu minaẓ-ẓālimīn.,"There is none worthy of worship but You, glory is to You. Surely, I was among the wrongdoers.","Reference:At-Tirmidhi 5/529. Al-Hakim declared it authentic and Ath-Thahabi agreed with him 1/ 505. See also Al-Albani, Sahih At-Tirmidhi 3/168.Hisnul Muslim 124"
Uncategorized,N/A,اللهُ اللهُ رَبِّي لا أُشْـرِكُ بِهِ شَيْـئاً,"Allāh, Allāhu Rabbī lā ushriku bihi shay'a.","Allah, Allah is my Lord. I do not associate anything with Him.","Reference:Abu Dawud 2/87. See also Al-Albani, Sahih Ibn Mdjah 2/335.Hisnul Muslim 125"
Chapter 36: Upon encountering an enemy or those of authority,3 du'as,اللّهُـمَّ إِنا نَجْـعَلُكَ في نُحـورِهِـم وَنَعـوذُ بِكَ مِنْ شُرورِهـمْ,Allāhumma innā naj`aluka fī nuḥūrihimwa na`ūdhu bika min shurūrihim.,"O Allah, we ask You to restrain them by their necks, and we seek refuge in You from their evil.","Reference:Abu Dawud 2/89, and Al-Hakim graded it authentic and Ath-Thahabi agreed 2/142.Hisnul Muslim 126"
Uncategorized,N/A,اللّهُـمَّ أَنْتَ عَضُـدي وَأَنْتَ نَصـيري بِكَ أَجـولُ وَبِكَ أَصـولُ وَبِكَ أُقـاتِل,"Allāhumma anta `aḍudī, wa anta naṣīrī. bika ajūlu, wa bika aṣūlu, wa bika uqātil.","O Allah, You are my strength and You are my support. For Your sake, I go forth and for Your sake, I advance and for Your sake, I fight.","Reference:Abu Dawud 3/42, At-Tirmidhi 5/572. See also Al-Albani, Sahih At-Tirmidhi 3/183.Hisnul Muslim 127"
Uncategorized,N/A,حَسْبُـنا اللهُ وَنِعْـمَ الوَكـيل,Ḥasbunallāhu wa ni`mal-wakīl.,Allah is sufficient for us and the best of those on whom to depend.,"Reference:Al-Bukhari, 5/172.Hisnul Muslim 128"
Chapter 37: For one afraid of the ruler's injustice,2 du'as,اللَّهُمَّ ربَّ السَّمَوَاتِ السَّبْعِ وَرَبَّ الْعَرْشِ الْعَظِيمِ كُنْ لِي جَاراً مِنْ فُلاَنِ بْنِ فُلاَنٍ وَأَحْزَابِهِ مِنْ خَلاَئِقِكَ أَنْ يَفْرُطَ عَلَيَّ أَحَدٌ مِنْهُمْ أَوْ يَطْغَى عَزَّ جَارُكَ وَجَلَّ ثَنَاؤُكَ وَلاَ إِلَهَ إِلاَّ أَنْتَ,"Allāhumma Rabbas-samāwātis-sab`. wa Rabba ‘l-`Arshi ‘l-`Aẓīm. kun lī jāran min [here you mention the person's name]. wa aḥzābihi min khalā'iqik. an yafruṭa `alayya aḥadun minhum aw yaṭghā,`azza jāruk. wa jalla thanā'uk. wa lā ilāha illā ant.","O Allah, Lord of the seven heavens, Lord of the Magnificent Throne, be for me a support against [such and such a person] and his helpers from among your creatures, lest any of them abuse me or do me wrong. Mighty is Your patronage, and glorious are Your praises. There is none worthy of worship but You.","Reference:Al-Bukhari, Al-'Adab Al-Mufrad (no. 707). Al-Albani graded it authentic in Sahih Al-'Adab Al-Mufrad (no. 545).Hisnul Muslim 129"
Uncategorized,N/A,الله أكبر الله أعز من خلقه جميعاً  الله أعز مما أخاف وأحذر  أعوذ بالله الذي لا إله إلا هو  الممسك السموات السبع أن يقعن على الأرض إلا بإذنه  من شر عبدك فلان  وجنوده وأتباعه وأشياعه  من الجن والأنس  اللهم كن لي جاراً من شرهم  جل ثناؤك وعز جارك  وتبارك اسمك  ولا إله غيرك (ثلاث مرات),Allāhu Akbar. Allāhu a`azzu min khalqihi jamī`a. Allāhu a`azzu mimmā akhāfu wa aḥdhar. a`ūdhu billāhi ‘l-ladhī lā ilāha illā hū. almumsikis-samāwātis-sab`ian yaqa`na `ala ‘l-arḍi illā bi idhnih. min sharri `abdika [name of the person]. wa junūdihi wa atbā`ihi wa ashyā`ih. mina ‘l-jinni wa ‘l-ins. Allāhumma kun lī jāran min sharrihim. jalla thanā'uk. wa `azza jāruk. wa tabāraka-smuk. wa lā ilāha ghayruk.,"Allah is the Most Great, Mightier than all His creation. He is Mightier than what I fear and dread. I seek refuge in Allah, Who there is none worthy of worship but Him. He is the One Who holds the seven heavens from falling upon the earth except by His command.[I seek refuge in You Allah] from the evil of Your slave [name of the person], and his helpers, his followers, and his supporters from among the jinn and mankind. O Allah, be my support against their evil. Glorious are Your praises and mighty is Your patronage. Blessed is Your Name, there is no true God but You. (Recite three times in Arabic.)","Reference:Al-Bukhari, 5/172.Hisnul Muslim 130"
Chapter 38: Against enemies,1 du'a,اللَّهُمَّ مُنْزِلَ الْكِتَاب سَرِيعَ الْحِسَاب اهْزِم الأَحْزَاب اللَّهُمَّ اهْزِمْهُمْ وَ زَلْزِلْهُم,Allāhumma munzila ‘l-kitāb. sarī`a ‘l-ḥisāb. ihzimi ‘l-aḥzāb. Allāhumma-hzimhum wa zalzilhum.,"O Allah, Revealer of the Book, Swift to account, defeat the groups (of disbelievers). O Allah, defeat them and shake them.",Reference:Muslim 3/1362.Hisnul Muslim 131
Chapter 39: When being afraid of a group of people,1 du'a,اللَّهُمَّ اكْفِنِيهِم بمَا شِئْت,Allāhummak-finīhim bimā shi't.,"O Allah, suffice (i. e. protect) me against them however You wish.",Reference:Muslim 4/2300.Hisnul Muslim 132
Chapter 40: For one afflicted with doubt in his faith,3 du'as,أَعـوذُ بِاللهِ  يَسْتَعِيذُ بِاللَّهِ  يَنْتَهِي عَمَّا شك فِيهِ,A`ūdhu billāh,(Say:) I seek refuge in Allah. (Then you should desist from doing what you are in doubt about.),"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/336, Muslim 1/120.Hisnul Muslim 133"
Uncategorized,N/A,يقول' آمنت بالله ورسله',Āmantu billāhi wa Rusulih.,(Say:) I believe in Allah and His Messengers.,"Reference:Muslim, 1/119-20.Hisnul Muslim 134"
Uncategorized,N/A,((هُوَ الأوَّلُ وَالآخِـرُ وَالظّـاهِـرُ وَالْبـاطِـنُ وَهُوَ بِكُلِّ شَيءٍ عَلـيم)),Huwa ‘l-Awwalu wa ‘l-Ākhir. waẓ-Ẓāhiru wal-Bāṭin. wa huwa bikulli shay'in `Alīm.,"(Recite the Ayat) He is the First and the Last, the Most High and the Most Near. And He is the Knower of all things (in Arabic).","Reference:Al-Hadid 57:3, Abu Dawud 4/329. Al-Albani graded it good in SahihAbu Dawud, 3/962.Hisnul Muslim 135"
Chapter 41: Settling a debt,2 du'as,اللّهُـمَّ اكْفِـني بِحَلالِـكَ عَنْ حَـرامِـك وَأَغْنِـني بِفَضْـلِكَ عَمَّـنْ سِـواك,Allāhummak-finī biḥalālika `an ḥarāmik. wa 'aghninī bi faḍlika `amman siwāk.,"O Allah, suffice me with what You have allowed instead of what You have forbidden, and make me independent of all others besides You.","Reference:At-Tirmidhi 5/560. See also Al-Albani, Sahih At-Tirmidhi 3/180.Hisnul Muslim 136"
Uncategorized,N/A,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ وَالْعَجْزِ وَالْكَسَلِ وَالْبُخْلِ وَالْجُبْنِ وَضَلَعِ الدَّيْنِ وَغَلَبَةِ الرِّجَالِ,Allāhumma innī a`ūdhu bika mina ‘l-ḥammi wa ‘l-ḥazan. wa ‘l-`ajzi wa ‘l-kasal. wa ‘l-bukhli wa ‘l-jubn. wa ḍala`id-dayni wa ghalabatir-rijāl.,"O Allah! I seek refuge with You from worry and grief, from incapacity and laziness, from cowardice and miserliness, from being heavily in debt and from being overpowered by (other) men.",Reference:Al-Bukhari 7/158.Hisnul Muslim 137
Chapter 42: For one afflicted by whisperings in prayer or recitation,1 du'a,أَعُوذُ بِاللَّهِ مِنَ الشَّيطَانِ الرَّجِيمِ وَاتْفُلْ عَلَى يَسَارِكَ (ثلاثاً),A`ūdhu billāhi minash-shayṭānir-rajīm.,(Say:) I seek refuge in Allah from Satan the outcast(then blow with a little spittle to your left). (Do this three times reciting in Arabic.),Reference:Muslim 4/1729.Hisnul Muslim 138
Chapter 43: For one whose affairs have become difficult,1 du'a,اللَّهُمَّ لاَ سَهْلَ إِلاَّ مَا جَعَلْتَهُ سَهْلاً وَأَنْتَ تَجْعَلُ الْحَزْنَ إِذَا شِئْتَ سَهْلاً,Allāhumma lā saḥla illā ma ja`altahu saḥlawa anta taj`alu ‘l-ḥazna idhā shi'ta saḥla.,"O Allah, there is no ease other than what You make easy. If You please You ease sorrow.","Reference:Ibn Hibban in his Sahih (no. 2427), and Ibn As- Sunni (no. 351). Al-Hafidh (Ibn Hajar) said that this Hadith is authentic. It was also declared authentic by 'Abdul-Qadir Al-Arna'ut in his checking of An-Nawawi's Kitabul-Athkarp. 106.Hisnul Muslim 139"
Chapter 44: Upon committing a sin,recommendation,مَا مِنْ عَبْدٍ يُذنِبُ ذَنْباً فَيُحْسِنُ الطُّهُورَ ثُمَّ يَقُومُ فَيُصَلِّي رَكْعَتَيْنِ ثُمَّ يَسْتَغْفِرُ اللَّهَ إِلاَّ غَفَرَ اللَّهُ لَهُ,,,"Reference:Abu Dawud 2/86, At-Tirmidhi 2/257. Al-Albani graded it authentic in Sahih Abu Dawud 1/283.Hisnul Muslim 140"
Chapter 45: For expelling the devil and his whisperings,1 du'a,أَعُوذُ بِاللَّهِ مِنَ الشَّيطَانِ الرَّجِيمِ,A`ūdhu billāhi minash-shayṭānir-rajīm.,Seeking refuge with Allah against him (i. e. by saying I seek refuge in Allah from Satan the outcast).,"Reference:Abu Dawud 1/206, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/77, and Surat Al-Mu'minun, 23:98-9.Hisnul Muslim 141"
Uncategorized,recommendation,الْأَذَانُ,,,"Reference:Muslim 1/291, Al-Bukhari 1/151.Hisnul Muslim 142"
Uncategorized,recommendation,الْأَذْكَارُ وَقِرَاءَةُ الْقُرْآنِ,,,"Reference:Do not turn your homes into graveyards, surely the Devil flees from the house in which Surat Al-Baqarah is read, Muslim 1/539. The Devil is also driven out by the invocations for morning and evening, those that are said before sleeping and upon waking up, those for entering and leaving the house, including those for entering and leaving the mosque, and by many other authentic invocations taught to us by the Prophet (ﷺ) such as the reading of 'Ayatul-Kursi, (Al-Baqarah 2:255), and the last two 'Ayat of Surat Al-Baqarah before going to sleep. Whoever says: ""There is none worthy of worship but Allah alone, Who has no partner, His is the dominion and His is the praise, and he is Able to do all things,"" one hundred times, it will be a protection for him from the Devil throughout the day.'Hisnul Muslim 143"
Chapter 46: When stricken with a mishap or overtaken by an affair,1 du'a,قَدَّرَ اللهُ وَما شـاءَ فَعَـل,Qaddarallāhu wa mā shā'a fa`al.,It is the Decree of Allah and He does whatever He wills.,"Reference:The strong believer is better and more dear to Allah than the weak believer, and in each of them there is good. Be vigilant for what is to your benefit and seek the help of Allah and do not falter. But when you are striken by some setback, do not say: 'If only I had done such and such,' rather say: 'It is the Decree of Allah and He does whatever He wills.' For verily the saying 'if (i.e. if only I had) begins the work of the Devil. Muslim 4/2052.Hisnul Muslim 144"
Chapter 47: Congratulation on the occasion of a birth and its reply,1 du'a,(بَارَكَ اللَّهُ لَكَ فِي الْمَوْهُوبِ لَكَ وَشَكَرْتَ الْوَاهِبَ وَبَلَغَ أَشُدَّهُ وَرُزِقْتَ بِرَّهُ). وَيَرُدُّ عَلَيْهِ الْمُهَــــــنَّأُ فَيَقُولُ: (بَارَكَ اللَّهُ لَكَ وَبَارَكَ عَلَيْكَ وَجَزَاكَ اللَّهُ خَيْراً وَرَزَقَكَ اللَّهُ مِثْلَهُ وَأَجْزَلَ ثَوَابَكَ).,Bārakallāhu laka fi ‘l-mawhūbi lak. wa shakarta ‘l-wāhib. wa balagha ashuddah. wa ruziqta birrah.The reply of the person being congratulated is to say: Bārakallahu laka wa bāraka `alayk. wa jazākallāhu khayra. wa razaqakallāhu mithlah. wa ajzala thawābak.,"May Allah bless you with His gift to you, and may you (the new parent) give thanks, may the child reach the maturity of years, and may you be granted its righteousness. The reply of the person being congratulated is to say: May Allah bless you, and shower His blessings upon you, and may Allah reward you well and bestow upon you its like and reward you abundantly","Reference:An-Nawawi, Kitdbul-'Athkarp. 349, and Sahihul-'Athkar2/7l3 by Saleem Al-Hilali.Hisnul Muslim 145"
Chapter 48: Placing childen under Allah’s protection,1 du'a,' أعيذكما بكلمات الله التامة  من كل شيطان وهامة  ومن كل عينِ لامة ',U`īthukumā bikalimāti ‘llāhit-tāmmatimin kulli shayṭānin wa hāmmah. wa min kulli `aynin lāmmah,"I seek protection for you in the Perfect Words of Allah from every devil and every beast, and from every envious blameworthy eye.",Reference:Al-Bukhari4/119.Hisnul Muslim 146
Chapter 49: When visiting the sick,2 du'as,لا بأْسَ طَهـورٌ إِنْ شـاءَ الله,Lā ba'sa ṭahūrun in shā Allāh.,"Do not worry, it will be a purification (for you), Allah willing.","Reference:Al-Bukhari, cf. Al-Asqalani Fathul-Bari 10/118.Hisnul Muslim 147"
Uncategorized,N/A,أَسْـأَلُ اللهَ العَـظيـم رَبَّ العَـرْشِ العَـظيـم أَنْ يَشْفـيك (سبع مرات),As'alullāha ‘l-`Aẓīma Rabba ‘l-`Arshil-`Aẓīmi an yashfiyak.,"I ask Almighty Allah, Lord of the Magnificent Throne, to make you well. (Recite seven times in Arabic .)","Reference:At-Tirmidhi, Abu Dawud. See also Al-Albani, Sahih At-Tirmidhi 2/210 and Sahihul-Jami' As-Saghir 5/180.Hisnul Muslim 148"
Chapter 50: Excellence of visiting the sick,recommendation,قَالَ صلى الله عليه وسلم: (إِذَا عَادَ الرَّجُلُ أَخَاهُ الْمُسْلِمَ مَشَى فِي خِرَافَةِ الْجَنَّةِ حَتَّى يَجْلِسَ فَإِذَا جَلَسَ غَمَرَتْهُ الرَّحْمَةُ فَإِنْ كَانَ غُدْوَةً صَلَّى عَلَيْهِ سَبْعُونَ أَلْفَ مَلَكٍ حَتَّى يُمْسِيَ وَإِنْ كَانَ مَسَاءً صَلَّى عَلَيْهِ سَبْعُونَ أَلْفَ مَلَكٍ حَتَّى يُصْبِحَ),,,Reference:Hisnul Muslim 149
Chapter 51: When the sick have renounced all hope of life,3 du'as,أللّهُـمَّ اغْفِـرْ لي وَارْحَمْـني وَأَلْحِقْـني بِالرَّفـيقِ الأّعْلـى,Allāhumma’ghfir lī warḥamnīwa alḥiqnī bir-rafīqi ‘l-'A`alā.,"O Allah, forgive me and have mercy upon me, and join me with the highest companions (in Paradise).","Reference:Al-Bukhari7/10, Muslim 4/1893.Hisnul Muslim 150"
Uncategorized,N/A,لا إله إلا الله إن للموت لسكرات,Lā ilāha illallāhinna li ‘lmawti la’sakarāt.,"There is none worthy of worship but Allah, surely death has agonies.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/144. The Hadith also mention him using the Siivak (tooth stick).Hisnul Muslim 151"
